uni_code,course_code,course_name,course_intro,area_of_study,career_ops,course_field,meta_gCode,meta_name,meta_status,meta_poa,meta_type,meta_inst,meta_camp,meta_fos,meta_keywords,meta_sa,meta_sm,meta_lsr,meta_msr,meta_hsr,meta_la,meta_ma,meta_ha,meta_ga,meta_acYear,meta_rpCode,meta_rpLink,meta_cLevel,meta_fee,meta_fPeriod,meta_pTime,meta_fTime,meta_int,meta_ext,meta_mMode,meta_nHe,meta_pHe,meta_nVet,meta_pVet,meta_nOth,meta_pOth,meta_nAtar,meta_pAtar,meta_nAPlus,meta_pAPlus,meta_nSec,meta_pSec,meta_nInt,meta_pInt,meta_nTot,meta_pTot,meta_pCode,meta_cYear,meta_ip,meta_spLink
acpe,170030,Bachelor of Health Science (Fitness),"The Bachelor of Health Science (Fitness)  allows you to concentrate your studies in health science with a fitness major to appeal to your interests and career aspirations. You will build a comprehensive understanding of human biomedical science underpinned by fitness industry skills. This course provides the practice of this knowledge in client assessments and in designing, implementing and evaluating exercise programs.","Exercise physiology, fitness, health promotion, health science, human biomedical science.","Gym and facility manager, group exercise instructor, strength and conditioning coach, specialist trainer.",Health,170030,Bachelor of Health Science (Fitness),open,3F/6P,DFEE,ACPE,4352-CPS,6,"69903,acpe,bachelor of health science (fitness),movement,science,health,bioscience,chemistry,nutrition,biochemistry,anatomy,sports medicine,exercise,health promotion,health awareness,anatomy,physiology,rehabilitation,fitness,dance,community health,sport",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,100.0,0,0.00,5,100.0,NA,2022,S,
acpe,170040,Bachelor of Health Science (Dance),The Bachelor of Health Science (Dance) is a specialised degree that uniquely combines the art of dance with scientific principles.,"Dance, other health.","Community wellness officer, instructor of semantically based practices including yoga and pilates, teacher or adviser to dance studio practice.",Health,170040,Bachelor of Health Science (Dance),open,3F/6P,DFEE,ACPE,4352-CPS,6,"69903,acpe,bachelor of health science (dance),movement,science,health,bioscience,chemistry,nutrition,biochemistry,anatomy,sports medicine,exercise, health promotion,health awareness,anatomy,physiology,rehabilitation,fitness,dance,community health,sport",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,<5,<5,0,0.00,1,100.0,NA,2022,S,
acpe,170080,Associate Degree of Sports Business,The knowledge covered in the Associate Degree of Sports Business is based on the business operations of the sports environment – an environment that has transformed dramatically in the past 20 years.,"Sports marketing, management and administration.","Sports management, sport marketing, sports events management, athlete management.",Health,170080,Associate Degree of Sports Business,open,2F/4P,DFEE,ACPE,4352-CPS,6,"803,acpe,associate degree of sports business,business, sports management &amp; leadership, sports marketing &amp; communications, sport and its social context, sports finance, sports accounting, sports economics, contemporary issues in sport business, sport business project, research, entrepreneurship in the sports industry, professional experience",0,0,NA,NA,NA,NA,NA,NA,NA,2022,NO,NA,TAB,NA, ,Y,Y,Y,Y,N,0,0.00,<5,<5,0,0.00,0,0.00,0,0.00,5,83.00,0,0.00,6,100.0,NA,2022,S,NA
acpe,170090,Bachelor of Sports Business (Leadership),The knowledge covered in the Bachelor of Sports Business (Leadership) is based on the business operations of the sports environment – an environment that has transformed dramatically in the past 20 years to become a global field in which Australians have earned an enviable reputation for excellence.,"Sport marketing, management and administration.","Sports manager, sports marketing, sports events management, athlete management.",Health,170090,Bachelor of Sports Business (Leadership),open,3F/6P,DFEE,ACPE,4352-CPS,6,"803,acpe,bachelor of sports business (leadership),business,sports management &amp; leadership,sports marketing &amp; communications,sport and Its social context,sports finance,sports accounting,sports economics,contemporary issues in sport business,sport business project,research,entrepreneurship in the sports industry,professional experience",0,0,NA,NA,NA,NA,NA,NA,NA,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,0,0.00,<5,<5,<5,<5,0,0.00,0,0.00,32,94.00,0,0.00,34,100.0,NA,2022,S,NA
acpe,170100,Bachelor of Sports Coaching (Management),"The Bachelor of Sports Coaching (Management) offers a unique mix of coaching and business subjects, and  a variety of sport science and professional skills.","Anatomy, exercise physiology, human movement, performance analysis, sport administration, sport coaching, sport psychology.","Sport coaching, sport management.",Health,170100,Bachelor of Sports Coaching (Management),open,3F/6P,DFEE,ACPE,4352-CPS,6,"803,acpe,bachelor of sports coaching (management),coaching,coaching pedagogy,dynamics of human movement,coaching sport administration,coaching professional skill development,sport,officiating,administration,exercise physiology,exercise psychology,sport psychology,performance analysis,anatomy,sport theory,sports business,accounting, communication,governance,policy,sport recreation,ethics,professional integrity,biomechanics,elite Athlete Management, Talent Management, Talent Identification, Project Management, Sports Management, Event Management, Strength and Conditioning, Youth Development, Risk Taking, Youth Health, Resilience, Motor learning, Skill Acquisition, Human Resource Management, Sport Law, Sport Administration, Sport Recreation",0,0,NA,NA,NA,NA,NA,NA,NA,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,0,0.00,<5,<5,0,0.00,0,0.00,0,0.00,26,96.00,0,0.00,27,100.0,NA,2022,S,NA
acpe,170110,Bachelor of Sports Coaching (Strength and Conditioning),"The Bachelor of Sports Coaching (Strength and  Conditioning) offers a unique mix of coaching, sport science, business subjects and a variety of generic professional skills.",Sports coaching particularly in strength and conditioning.,"Head and assistant coach, sports coaching development officer, high-performance manager, strength and conditioning coach, sports administrator, director of coaching.",Health,170110,Bachelor of Sports Coaching (Strength and Conditioning),open,3F/6P,DFEE,ACPE,4352-CPS,6,"69903,acpe,bachelor of sports coaching (strength and conditioning),coaching,coaching pedagogy,dynamics of human movement,coaching sport administration,coaching professional skill development,sport,officiating,administration,exercise physiology,exercise psychology,sport psychology,performance analysis,anatomy,sport theory,sports business,accounting,communication,governance,policy,sport recreation,ethics,professional integrity,biomechanics,elite athlete management,talent management,talent identification,project management,sports management,event management,motor learning,skill acquisition,human resource management,sport law,sport administration,sport recreation,strength and conditioning,athletics,aquatics,sports performance analysis,sports medicine",0,0,NA,NA,NA,NA,NA,NA,NA,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,<5,<5,<5,<5,0,0.00,0,0.00,0,0.00,62,94.00,<5,<5,66,100.0,NA,2022,S,NA
acpe,170120,Bachelor of Education (Physical and Health Education),"This Bachelor of Education (Physical and Health Education) is tailored to include all the relevant subjects for students who seek a career in PE teaching. Alternatively, graduates may choose careers in the sports, health or movement industries at advanced levels.",Physical education.,"PDHPE secondary teacher, specialist PE primary school teacher, sport development officer, school sports coordinator, recreation officer, project officer, youth worker.",Health,170120,Bachelor of Education (Physical & Health Education),open,4F/8P,DFEE,ACPE,4352-CPS,6,"acpe,bachelor of education (physical &amp; health education),physical education,education studies,curriculum studies,health,movement,science,education professional experience",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,12,80.00,0,0.00,0,0.00,0,0.00,0,0.00,<5,20.00,0,0.00,15,100.0,NA,2022,S,
acpe,170130,Bachelor of Dance Education ,"The Bachelor of Dance Education prepares graduates to teach dance in the secondary school system, or apply their skills and knowledge in other educational contexts.","Anatomy, dance, health, performance.","Dance teacher (secondary schools), PDHPE teacher (secondary schools), specialist dance and/or PE primary school teacher, dance instructor (private studio), dance coordinator (arts industry), community wellness officer (dance).",Health,170130,Bachelor of Dance Education,open,4F/8P,DFEE,ACPE,4352-CPS,6,"69903,acpe,bachelor of dance education,dance,dance education,dance curriculum,health,movement,science,dance professional experience",0,0,,,,,,,,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,12,80.00,0,0.00,0,0.00,0,0.00,0,0.00,<5,20.00,0,0.00,15,100.0,NA,2022,S,
acpe,170140,Bachelor of Dance Practice (Pathway to Education),The Bachelor of Dance Practice (Pathway to Education) delivers a mix of theoretical and experiential learning that will allow work-ready graduates to secure dance-related opportunities across many different industry contexts.,Dance.,"Dance teaching, dance studio, dance facilitator, dance curator, dance director.",Health,170140,Bachelor of Dance Practice (Pathway to Education),open,3F/6P,DFEE,ACPE,4352-CPS,6,"69903,acpe,bachelor of dance practice,dance,dance as an artform,dance practice,dance performance,community arts and dance practice,dance health,dance science,dance and professional studies,dance work integrated learning",0,0,NA,NA,NA,NA,NA,NA,NA,2022,NO,NA,TBP,NA, ,Y,Y,Y,Y,N,<5,<5,0,0.00,<5,<5,0,0.00,0,0.00,10,83.00,0,0.00,12,100.0,NA,2022,S,NA
acpe,170150,Bachelor of Health Promotion,"The Bachelor of Health Promotion is for students wanting to pursue a career in health-related fields with a particular focus on health promotion. Studies in health promotion are personally rewarding and future focused. Unlike other careers in the health sector, graduates of health promotion will work with both individuals and the broader community to impact their health and bring about positive change.","Health, Health Promotion, Public Health, Community Health.","Health Promotion Officer or Coordinator, Health and Lifestyle Coordinator, Policy Support Officer, Community Health Development Officer, Community Engagement Officer, Public Health Project Officer or Program Development Officer, Environmental Health Coordinator, Health and Wellbeing Manager, Health Education Program Officer, Primary Care Partnership Manager, Youth Services Officer and, other health or programme planning positions within government, private providers, or NGOs.",Health,170150,Bachelor of Health Promotion,open,3F/6P,DFEE,ACPE,4352-CPS,6,"acpe,bachelor of health promotion,health promotion officer,health and lifestyle coordinator,policy support officer,community health and development officer,community engagement officer,health and wellbeing manager",0,0,,,,,,,,2022,NC,NA,TBP,NA, ,Y,Y,Y,Y,N,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,100.0,NA,2022,S,
acpe,170160,Bachelor of Physical Activity for Health (Pathway to Education),"The Bachelor of Physical Activity for Health (Pathway to Education) from ACPE allows graduates to turn their love of physical activity, health and movement into a dynamic career. Upon graduation, many students go on to work as teachers, recreational officers and health professionals.","Health, science.","Community health advocate, community health worker, community recreation manager, community sports manager, health administrator, health promotion and community development officer, policy analyst, sports administrator, sports development officer, youth health worker.",Health,170160,Bachelor of Physical Activity for Health (Pathway to Education),open,3F/6P,DFEE,ACPE,4352-CPS,6,"acpe,health,education,health science,health and movement",0,0,,,,,,,,2022,NC,NA,TBP,NA,NA,Y,Y,Y,Y,N,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,100.0,NA,2022,S,
acu,101000,Bachelor of Education (Primary),"As a primary teacher  you will have a creative, challenging and rewarding career helping and  inspiring children to develop important lifelong skills. You will become adept  at managing social, cultural and developmental diversity. You can choose from a  range of subject specialisations in English, mathematics, health and physical  education, Indigenous education, language (Spanish or Italian), science and  technologies, religious education, the arts or Indigenous education available  to First Peoples.",Teaching in a primary setting.,"Primary teacher in government, independent and Catholic schools, educator in community education centres, private colleges and inclusive education settings; policy development.",Education,101000,Bachelor of Education (Primary),open,4F/EqP,CSP,ACU,3006-CW,7,"acu,bachelor of education (primary),education,primary,teaching,primary education,primary teaching",0,0,66.05,77.70,94.15,65.15,72.40,84.15,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,<5,<5,0,0,0,0,7,30.43,0,0,12,52.17,0,0,23,100.0,NA,2022,S,
acu,101104,Bachelor of Education (Secondary)/Bachelor of Arts (Mathematics),"The Bachelor of Education (Secondary)/Bachelor  of Arts (Mathematics) is a double degree that enables you to gain the skills  and expertise to become a secondary school mathematics teacher. As a graduate,  you will be a qualified mathematics teacher proficient in innovative  curriculum, teaching and assessment practice. This course includes  university-level mathematics, extending your knowledge to ensure you have a  deep understanding of the content in the secondary school curriculum. You will  develop a contemporary understanding of the variety of ways students learn  mathematics and the diversity of teaching approaches needed to ensure all  students understand mathematics.","Teaching – mathematics plus computing, drama, economics, geography, history, literature, study of religions, visual arts.","Secondary teachers in Catholic, state and independent school systems; teaching and educator roles in community situations.",Education,101104,Bachelor of Education (Secondary)/Bachelor of Arts (Mathematics),open,4F/EqP,CSP,ACU,3006-ST,7,"acu,bachelor of teaching/bachelor of arts (secondary - mathematics),teaching,arts,secondary teaching,mathematics,education,humanities,maths",0,0,65.40,73.60,99.95,58.35,68.60,91.90,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,<5,<5,<5,<5,<5,<5,5,27.78,0,0,<5,<5,<5,<5,18,100.0,NA,2022,S,
acu,101107,Bachelor of Education (Secondary)/Bachelor of Arts (Visual Arts),"Share your passion in visual arts. This course will help  your skills in visual media and give you the qualifications to become a  secondary teacher. During the degree, you will cover two-dimensional media  areas such as drawing, painting, printmaking, graphic design, photography, and  three-and-four-dimensional areas such as sculpture and object design.","Teaching – visual arts plus business studies, computing, drama, economics, geography, history, literature, mathematics, study of religions.","Secondary teachers in  Catholic, independent and government schools; teachers and educators in  community situations.",Education,101107,Bachelor of Education (Secondary)/Bachelor of Arts (Visual Arts),open,4F/EqP,CSP,ACU,3006-ST,7,"acu,bachelor of teaching/bachelor of arts (secondary - visual arts),education,teaching,art,secondary,visual arts,fine arts,secondary education,secondary teaching,visual arts education,visual arts teaching,art education,art teaching,fine arts education,fine arts teaching,drawing,painting,printmaking,sculpture,ceramics,photography,studio,graphic design",0,0,65.55,81.35,93.00,63.55,73.35,92.70,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,5,15.63,6,18.75,<5,<5,<5,<5,0,0,15,46.88,<5,<5,32,100.0,NA,2022,S,
acu,101108,Bachelor of Education (Secondary)/Bachelor of Arts (Humanities),Our secondary teaching and arts double degrees give you  the flexibility to combine your interest in teaching with two humanities  teaching areas. You can choose from a diverse range of majors and minors.,"Teaching – one major and one minor sequence from the major/minor discipline areas of drama, economics, geography, history, literature, study of religions, and minor areas of computing, mathematics, sociology, visual arts.","Secondary teachers in Catholic, state and independent school systems; teachers and educators in community situations.",Education,101108,Bachelor of Education (Secondary)/Bachelor of Arts (Humanities),open,4F/EqP,CSP,ACU,3006-ST,7,"acu,bachelor of teaching/bachelor of arts (secondary - humanities),education,teaching,arts,secondary,humanities,economics,geography,history,literature,secondary education,secondary teaching,humanities education,humanities teaching,study of religions,english,drama,computing,mathematics,sociology,visual arts,",0,0,63.20,79.05,99.15,55.35,70.00,89.15,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,<5,<5,<5,<5,<5,<5,11,25.58,0,0,23,53.49,0,0,43,100.0,NA,2022,S,
acu,101113,Bachelor of Education (Early Childhood and Primary),"As an early childhood  and primary teacher, you will inspire and help children develop critical  lifelong skills by creating inclusive learning environments that nurture  diversity. Qualified to teach from birth to Year 6, you’ll engage children  through key curriculum areas such as arts, English, mathematics, science,  technologies, and health and physical education. You will also gain the  practical skills to manage social, cultural and developmental diversity.","Early childhood education, teaching in a primary setting.","Early childhood and primary teachers in community, Catholic, state and independent school systems; teachers and educational leaders in community situations, policy developer.",Education,101113,Bachelor of Education (Early Childhood and Primary),open,4F/EqP,CSP,ACU,3006-CW,7,"acu,bachelor of education (early childhood and primary),education,early childhood,primary,teaching,primary education,primary teaching,early childhood education,early childhood teaching",0,0,<5,<5,<5,<5,<5,<5,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,0,0,<5,<5,0,0,<5,<5,0,0,5,50,<5,<5,10,100.0,NA,2022,S,
acu,101116,Bachelor of Education (Secondary)/Bachelor of Arts (Design Innovation and Technologies),The Bachelor of Education (Secondary)/Bachelor of Arts (Design Innovation and Technologies) is a double degree for students who want to teach technologies in secondary schools.,"Teaching (secondary), design and technology, digital techologies (computing), food technology, industrial technology (electronics, engineering, graphics and multimedia, timber), textiles and design.","Secondary school teacher in community centre education, private colleges and inclusive education settings; roles in policy development.",Education,101116,Bachelor of Education (Secondary)/Bachelor of Arts (Design Innovation and Technologies),open,4F/EqP,CSP,ACU,3006-ST,7,"acu,101116,bachelor of education (secondary)/bachelor of arts (design innovation and technologies),education,arts,design,technology,innovation",0,0,65.45,73.35,99.95,55.85,65.20,91.50,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,10,22.22,<5,<5,<5,<5,11,24.44,0,0,20,44.44,0,0,45,100.0,NA,2022,S,
acu,101120,Bachelor of Early Childhood Education (Birth to Five Years),The  Bachelor of Early Childhood Education (Birth to Five Years) is aimed at   students dedicated to a  teaching career in a birth to five setting.,Early childhood education.,"Early childhood teacher in Australia and overseas, kindergarten teacher, policy developer.",Education,101120,Bachelor of Early Childhood Education (Birth to Five Years),open,4F/EqP,CSP,ACU,3006-ST,7,"acu,bachelor of early childhood education (birth to five years),early childhood education,teaching,infants,education,learning,birth to five years",0,0,61.60,69.50,93.80,54.65,66.40,81.80,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,<5,<5,<5,<5,0,0,<5,<5,0,0,<5,<5,7,41.18,17,100.0,NA,2022,S,
acu,101124,Bachelor of Educational Studies,The Bachelor of Educational Studies is aimed at students who aspire to develop their careers in schools and educational settings in fields other than teaching. The course also offers a pathway into an initial teacher education degrees. The focus of this course is contemporary education.,Education studies.,"Corporate training, educational consultancy, online learning, vocational and community education, curriculum writing, youth services or adult learning or, after further study, early childhood and/or primary teaching.",Education,101124,Bachelor of Educational Studies,open,3F/EqP,CSP,ACU,3006-CN,7,"acu,bachelor of educational studies,education,educational studies,",0,0,<5,<5,<5,<5,<5,<5,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,<5,<5,0,0,0,0,<5,<5,0,0,<5,<5,0,0,<5,100.0,NA,2022,S,
acu,101200,Bachelor of Education (Primary and Secondary),"As both a primary and  secondary teacher, you will be able to inspire, nurture and develop expertise in  young people. You will become qualified to teach from the early schooling years to Year 12. This course gives you the flexibility  of multiple career options, and you'll  develop knowledge and skills in primary  curriculum and one specialist secondary teaching area.",Teaching in a primary and secondary setting.,"Primary and secondary teachers in government and non-government schools, educator in community education centres, private colleges and inclusive education settings; policy development.",Education,101200,Bachelor of Education (Primary and Secondary),open,4F/EqP,CSP,ACU,3006-CW,7,"acu, bachelor of education (primary and secondary), education, primary, secondary",0,0,69.25,79.70,99.95,61.25,74.20,95.40,,2022,NA,NA,TBP,NA, ,Y,Y,Y,N,N,<5,<5,<5,<5,0,0,<5,<5,0,0,<5,<5,0,0,7,100.0,NA,2022,S,
